id,ejercicio,lluvia,lluvia_normal,lluvia_anom,thi_dias,gw,gw_z
1601002,2026,734.0501022145414,1210.5214620526615,-39.36083537339151,68,0.6081647465437788,-2.4451573456626425
1601003,2021,897.8019403911146,1187.1634339538489,-24.374191900353225,41,0.6717930747567844,-0.8776836410564353
1601003,2022,953.6282007812289,1187.1634339538489,-19.671700331506226,38,0.6858263568868408,-0.5319759767823415
1601003,2023,644.9321400912703,1187.1634339538489,-45.67452790022995,86,0.6173969534050179,-2.217723403943594
1601003,2024,1376.0256570223899,1187.1634339538489,15.90869611267719,69,0.6358442714126807,-1.7632766707099246
1601003,2025,890.5273854281669,1187.1634339538489,-24.986959675613942,63,0.6297876984126984,-1.912479379379547
1601003,2026,741.6056861613595,1187.1634339538489,-37.53128971539823,68,0.6081647465437788,-2.4451573456626425
1601004,2021,911.2608464882027,1175.7838462666182,-22.497587513073626,44,0.6855396825396826,-0.6445751604201057
1601004,2022,919.1071616581762,1175.7838462666182,-21.8302611847789,41,0.6868872887864823,-0.6041454001643672
1601004,2023,640.375499546102,1175.7838462666182,-45.536290400702455,79,0.628926267281106,-2.3430436942357833
1601004,2024,1387.4450487356687,1175.7838462666182,18.001710360379853,63,0.6591353355580274,-1.4367363875684407
1601004,2025,864.1629011403062,1175.7838462666182,-26.503251096345604,61,0.6522569764464926,-1.6430951889561796
1601004,2026,723.3594757723683,1175.7838462666182,-38.47853259175148,63,0.6399672299027138,-2.0118019291844336
1601005,2021,922.047056736579,1175.0795809567592,-21.53322449992358,44,0.6855396825396826,-0.6445751604201057
1601005,2022,905.2016015691509,1175.0795809567592,-22.966783166113014,41,0.6868872887864823,-0.6041454001643672
1601005,2023,649.2602987174383,1175.0795809567592,-44.74754652882272,79,0.628926267281106,-2.3430436942357833
1601005,2024,1392.7102934033035,1175.0795809567592,18.52050839563969,63,0.6591353355580274,-1.4367363875684407
1601005,2025,858.414269228858,1175.0795809567592,-26.948414121030833,61,0.6522569764464926,-1.6430951889561796
1601005,2026,723.6130014896943,1175.0795809567592,-38.42008548046399,63,0.6399672299027138,-2.0118019291844336
1601006,2021,881.8194396366505,1145.586299782611,-23.02461719348542,44,0.6855396825396826,-0.6445751604201057
1601006,2022,856.0134850162704,1145.586299782611,-25.277258886675806,41,0.6868872887864823,-0.6041454001643672
1601006,2023,632.0219572887021,1145.586299782611,-44.829825792379324,79,0.628926267281106,-2.3430436942357833
1601006,2024,1337.9374948042687,1145.586299782611,16.7906333253251,63,0.6591353355580274,-1.4367363875684407
1601006,2025,828.6935606798396,1145.586299782611,-27.662057338055245,61,0.6522569764464926,-1.6430951889561796
1601006,2026,708.0028234331719,1145.586299782611,-38.19733846611781,63,0.6399672299027138,-2.0118019291844336
1602001,2021,889.7099316386992,1207.162046361583,-26.29739028655618,41,0.6717930747567844,-0.8776836410564353
1602001,2022,1014.5820100234438,1207.162046361583,-15.953122194205848,38,0.6858263568868408,-0.5319759767823415
1602001,2023,661.4085471425428,1207.162046361583,-45.20963037762453,86,0.6173969534050179,-2.217723403943594
1602001,2024,1437.062607396805,1207.162046361583,19.044714148208048,69,0.6358442714126807,-1.7632766707099246
1602001,2025,916.68319507518,1207.162046361583,-24.062954278749366,63,0.6297876984126984,-1.912479379379547
1602001,2026,734.6256826935875,1207.162046361583,-39.14440195433845,68,0.6081647465437788,-2.4451573456626425
1602002,2021,873.6938797815126,1244.4916558867603,-29.79511950532416,41,0.6717930747567844,-0.8776836410564353
1602002,2022,1062.1253275946624,1244.4916558867603,-14.653881159384161,38,0.6858263568868408,-0.5319759767823415
1602002,2023,681.3952765957434,1244.4916558867603,-45.247099619143974,86,0.6173969534050179,-2.217723403943594
1602002,2024,1497.003568129758,1244.4916558867603,20.29036603407925,69,0.6358442714126807,-1.7632766707099246
1602002,2025,937.2208642696895,1244.4916558867603,-24.690466196667714,63,0.6297876984126984,-1.912479379379547
1602002,2026,759.5442947608618,1244.4916558867603,-38.96750603605696,68,0.6081647465437788,-2.4451573456626425
1602003,2021,884.0145926069299,1182.4966219142973,-25.241681352473258,41,0.6717930747567844,-0.8776836410564353
1602003,2022,995.0205048127028,1182.4966219142973,-15.854262382424125,38,0.6858263568868408,-0.5319759767823415
1602003,2023,647.3766875175666,1182.4966219142973,-45.25340068459951,86,0.6173969534050179,-2.217723403943594
1602003,2024,1430.5025019913705,1182.4966219142973,20.97307302879109,69,0.6358442714126807,-1.7632766707099246
1602003,2025,877.2311111014399,1182.4966219142973,-25.815338932526934,63,0.6297876984126984,-1.912479379379547
1602003,2026,713.7040070122663,1182.4966219142973,-39.64430901655525,68,0.6081647465437788,-2.4451573456626425
1602004,2021,901.3242344871054,1183.6994723140747,-23.855315004486695,44,0.6855396825396826,-0.6445751604201057
1602004,2022,942.8853173206691,1183.6994723140747,-20.34419720764306,41,0.6868872887864823,-0.6041454001643672
1602004,2023,642.8279513448653,1183.6994723140747,-45.69331436059797,79,0.628926267281106,-2.3430436942357833
1602004,2024,1407.9548738982157,1183.6994723140747,18.94529877129477,63,0.6591353355580274,-1.4367363875684407
1602004,2025,871.7494194502373,1183.6994723140747,-26.353822077320885,61,0.6522569764464926,-1.6430951889561796
1602004,2026,718.5849767567697,1183.6994723140747,-39.293292464516256,63,0.6399672299027138,-2.0118019291844336
1603001,2021,886.711520414818,1166.0955526259418,-23.958931288433114,44,0.6855396825396826,-0.6445751604201057
1603001,2022,942.3448546129351,1166.0955526259418,-19.188024301193867,41,0.6868872887864823,-0.6041454001643672
1603001,2023,626.4192738543287,1166.0955526259418,-46.280622334620084,79,0.628926267281106,-2.3430436942357833
1603001,2024,1404.712957485264,1166.0955526259418,20.46293756304768,63,0.6591353355580274,-1.4367363875684407
1603001,2025,844.9387164852529,1166.0955526259418,-27.541210959725614,61,0.6522569764464926,-1.6430951889561796
1603001,2026,697.1609410905875,1166.0955526259418,-40.214081125629534,63,0.6399672299027138,-2.0118019291844336
1603002,2021,880.1332584734595,1169.0725483458164,-24.71525743044712,44,0.6855396825396826,-0.6445751604201057
1603002,2022,957.6037293675407,1169.0725483458164,-18.088596749405692,41,0.6868872887864823,-0.6041454001643672
1603002,2023,629.1842896400328,1169.0725483458164,-46.18090292768404,79,0.628926267281106,-2.3430436942357833
1603002,2024,1407.315563011306,1169.0725483458164,20.378804976867563,63,0.6591353355580274,-1.4367363875684407
1603002,2025,859.7019680239283,1169.0725483458164,-26.462906922212238,61,0.6522569764464926,-1.6430951889561796
1603002,2026,695.2674387330158,1169.0725483458164,-40.5282897355868,63,0.6399672299027138,-2.0118019291844336
1603003,2021,874.702844261307,1172.1379447255108,-25.375434845585236,40,0.7104044418842805,-0.3412071884863968
1603003,2022,973.5299252971256,1172.1379447255108,-16.944082419829424,41,0.7010844214029698,-0.6139585118095573
1603003,2023,639.8845212314218,1172.1379447255108,-45.40877000775972,79,0.6382061571940604,-2.4540971473022757
1603003,2024,1406.842076400822,1172.1379447255108,20.023593019188006,66,0.6712378877765418,-1.4874202772146634
1603003,2025,860.0013410672067,1172.1379447255108,-26.62968169086956,62,0.6614049539170507,-1.7751820613977958
1603003,2026,702.5718259835783,1172.1379447255108,-40.060653343314016,63,0.6444295314900154,-2.2719694815786977
1603004,2021,887.4814558465871,1214.492429291369,-26.92573173433333,36,0.6898631592421915,-0.6158514715926322
