fecha,lluvia,lluvia_n,lluvia3_anom,lluvia6_anom,gw,gw_z,thi_dias,t
1994-01-01,68.55918925693727,102.84894823025279,14.08300022072746,4.279878696679096,,,,
1994-02-01,60.02041198042834,101.98975304828137,-19.545026940549125,-0.960207539626079,,,,
1994-03-01,135.6042664060502,113.662778954528,-17.05411621632016,10.200160185825236,,,,
1994-04-01,61.85428086861941,109.32177097655091,-20.769440262034845,-3.716059201410149,,,,
1994-05-01,127.9149920276821,97.0420434080879,1.670781764538587,-8.8548105320439,,,,
1994-06-01,45.03161711986668,88.73324635873176,-20.43265716551429,-18.678953038979085,,,,
1994-07-01,81.27687464214779,85.46243252895226,-6.272814253882498,-14.174417597722776,,,,
1994-08-01,50.497205527241306,79.70051013006047,-30.362996792795894,-12.500557212710174,,,,
1994-09-01,110.96401972028002,91.84184539197503,-5.551137108966331,-13.50527245133235,,,,
1994-10-01,113.23499594539052,117.23842032848478,-4.8772480149090525,-5.553172487448787,,,,
1994-11-01,61.94603359164575,98.25115911858865,-6.893657423033661,-17.51105342712127,,,,
1994-12-01,88.70079937983022,110.25963881421481,-18.992337011472728,-13.064530948062336,,,,
1995-01-01,52.12460241737422,102.84894823025279,-34.87551365016187,-20.440690293704144,,,,
1995-02-01,79.90301363501025,101.98975304828137,-29.94935632880724,-18.56535576426499,,,,
1995-03-01,127.79572135275072,113.662778954528,-18.42319313084181,-18.710966469119917,,,,
1995-04-01,135.29339775511414,109.32177097655091,5.544386001701551,-14.23316591855368,,,,
1995-05-01,55.49912176049918,97.0420434080879,-0.4494477961331178,-15.084949761558608,,,,
1995-06-01,83.92581846522306,88.73324635873176,-6.9057694818100535,-12.884135197690682,,,,
1995-07-01,60.405486180249056,85.46243252895226,-26.3264619999774,-8.95477847862064,,,,
1995-08-01,19.633455936645507,79.70051013006047,-35.420550731205225,-15.920221973277338,,,,
1995-09-01,38.24553509137618,91.84184539197503,-53.975769048783626,-28.816971715034214,,,,
1995-10-01,102.02305596083147,117.23842032848478,-44.628569364457206,-35.764180185910135,,,,
1995-11-01,105.0306261134471,98.25115911858865,-20.184140852462573,-27.07700625504088,,,,
1995-12-01,23.713345929131194,110.25963881421481,-29.158071587969815,-40.10311358981256,,,,
1996-01-01,76.62536701559956,102.84894823025279,-34.041140003169254,-39.1356902844218,,,,
1996-02-01,65.49818692964807,101.98975304828137,-47.36979578325774,-33.946584786946424,,,,
1996-03-01,51.16272960450767,113.662778954528,-39.31385078388997,-34.17883557686454,,,,
1996-04-01,159.10183177884971,109.32177097655091,-15.143214160376361,-24.390013701199532,,,,
1996-05-01,17.589414912565044,97.0420434080879,-28.801549296735818,-38.0136323663155,,,,
1996-06-01,39.88016407847221,88.73324635873176,-26.610109153805826,-33.20425865624992,,,,
1996-07-01,35.69763077114262,85.46243252895226,-65.6510868128492,-38.12101359328734,,,,
1996-08-01,31.788629916377076,79.70051013006047,-57.71247091917233,-41.591375814482426,,,,
1996-09-01,130.48559491767566,91.84184539197503,-22.96958468885829,-24.915435932639408,,,,
1996-10-01,68.79825928958239,117.23842032848478,-19.983425682309374,-42.10196717446383,,,,
1996-11-01,75.22313764433856,98.25115911858865,-10.68046751309022,-31.957479071044038,,,,
1996-12-01,77.74482697773315,110.25963881421481,-31.921180012235006,-27.973368699257385,,,,
1997-01-01,79.32056085103858,102.84894823025279,-25.395453864655014,-22.79124761612694,,,,
1997-02-01,66.42253908813674,101.98975304828137,-29.073594341650622,-19.99178914217371,,,,
1997-03-01,49.441255787550276,113.662778954528,-38.71791252464503,-35.28131508234041,,,,
1997-04-01,52.93886163701386,109.32177097655091,-48.05661402605674,-36.96845508638751,,,,
