id,ejercicio,prod,venta,rem,dens,prod_chg,venta_chg,rem_chg,dens_chg,prod_cmp,venta_cmp,rem_cmp,dens_cmp
0203008,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0203008,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0203008,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204001,2021,13500,0,0,68.2989769271182,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0204001,2022,120000,74000,0,607.1020171299396,788.8888888888889,,,788.8888888888887,ok,sin_base,sin_produccion,ok
0204001,2023,9800,0,0,49.57999806561173,-91.83333333333333,-100,,-91.83333333333334,ok,ok,sin_produccion,ok
0204001,2024,11600,0,0,58.686528322560825,18.367346938775512,,,18.36734693877551,ok,sin_produccion,sin_produccion,ok
0204001,2025,103000,0,0,521.0958980365315,787.9310344827586,,,787.9310344827586,ok,sin_produccion,sin_produccion,ok
0204002,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0204002,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204002,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204002,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204002,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204003,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0204003,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204003,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204003,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204003,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204004,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0204004,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204004,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204004,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204004,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204005,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0204005,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204005,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204005,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204005,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204006,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0204006,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204006,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204006,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204006,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204007,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0204007,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204007,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204007,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0204007,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0301000,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0301000,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0301000,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0301000,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0301000,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0301001,2021,2597341,2538865,3,177733.91378526727,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0301001,2022,2690251,2639806,3,184091.66886239778,3.577119831396802,3.975831720079642,0,3.5771198313968133,ok,ok,ok,ok
0301001,2023,1797214,1767695,3,122981.87959519961,-33.19530408129204,-33.03693528994176,0,-33.19530408129204,ok,ok,ok,ok
0301001,2024,526952,525302,1,36058.89305138377,-70.6795072818262,-70.28322193591089,-66.66666666666667,-70.6795072818262,ok,ok,ok,ok
0301001,2025,727900,720000,1,49809.59983471406,38.13402359228165,37.06401270126518,0,38.13402359228164,ok,ok,ok,ok
0301002,2021,6021785,5790290,6,178131.40111774614,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0301002,2022,6148173,5950583,8,181870.1050941368,2.0988461062625117,2.7683069414485284,33.333333333333336,2.0988461062625,ok,ok,ok,ok
0301002,2023,6850141,6624471,8,202635.13462936963,11.417505655745211,11.324739105395219,0,11.417505655745217,ok,ok,ok,ok
0301002,2024,8151415,7928485,7,241128.3323868608,18.99630971099719,19.6848020015485,-12.5,18.99630971099719,ok,ok,ok,ok
0301002,2025,7834040,7523500,7,231740.01091245667,-3.8934957918349147,-5.107974600443843,0,-3.893495791834915,ok,ok,ok,ok
0301003,2021,925219,841899,5,74265.68745527543,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0301003,2022,1659993,1591273,5,133244.69267918734,79.41622469923337,89.00996437814987,0,79.41622469923337,ok,ok,ok,ok
0301003,2023,389474,371364,3,31262.386911591682,-76.53761190559237,-76.66245829596807,-40,-76.53761190559237,ok,ok,ok,ok
0301003,2024,458811,423701,3,36827.94487255707,17.802728808598264,14.09318081451083,0,17.802728808598268,ok,ok,ok,ok
0301003,2025,412222,385962,3,33088.328508373204,-10.154290110742767,-8.906988654735297,0,-10.154290110742778,ok,ok,ok,ok
0301004,2021,1743274,1685384,4,79660.4646435204,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0301004,2022,1621635,1573445,3,74102.06174255752,-6.977617976290589,-6.641750485349333,-25,-6.9776179762905866,ok,ok,ok,ok
0301004,2023,1470779,1416089,4,67208.56189441953,-9.302709919309832,-10.000730880329469,33.333333333333336,-9.302709919309823,ok,ok,ok,ok
0301004,2024,1525390,1466200,4,69704.06038441438,3.713066341034241,3.5386900117153655,0,3.7130663410342266,ok,ok,ok,ok
